PN;T0;M;X1;X2;X3;V1;V2;V3;XR;V;Error
P 2;  2.0000000E+02;  1.9890000E+30;  3.8258457E+11;  4.8451454E+03;  0.0000000E+00;  2.6286757E+09;  3.3099049E+01;  0.0000000E+00;  3.8258457E+11;  2.6286757E+09;  0.0000000E+00
P 1;  2.0500000E+02;  1.9890000E+30; -3.9314984E+11; -4.9779928E+03;  0.0000000E+00; -1.7725821E+09; -2.2258208E+01;  0.0000000E+00;  3.9314984E+11;  1.7725821E+09;  0.0000000E+00
P 2;  2.0500000E+02;  1.9890000E+30;  3.9314984E+11;  4.9779928E+03;  0.0000000E+00;  1.7725821E+09;  2.2258208E+01;  0.0000000E+00;  3.9314984E+11;  1.7725821E+09;  0.0000000E+00
P 1;  2.1000000E+02;  1.9890000E+30; -3.9949497E+11; -5.0574060E+03;  0.0000000E+00; -9.3522576E+08; -1.1656630E+01;  0.0000000E+00;  3.9949497E+11;  9.3522576E+08;  0.0000000E+00
P 2;  2.1000000E+02;  1.9890000E+30;  3.9949497E+11;  5.0574060E+03;  0.0000000E+00;  9.3522576E+08;  1.1656630E+01;  0.0000000E+00;  3.9949497E+11;  9.3522576E+08;  0.0000000E+00
P 1;  2.1500000E+02;  1.9890000E+30; -4.0168506E+11; -5.0842189E+03;  0.0000000E+00; -1.0722787E+08; -1.1754392E+00;  0.0000000E+00;  4.0168506E+11;  1.0722787E+08;  0.0000000E+00
P 2;  2.1500000E+02;  1.9890000E+30;  4.0168506E+11;  5.0842189E+03;  0.0000000E+00;  1.0722787E+08;  1.1754392E+00;  0.0000000E+00;  4.0168506E+11;  1.0722787E+08;  0.0000000E+00
P 1;  2.2000000E+02;  1.9890000E+30; -3.9974073E+11; -5.0587020E+03;  0.0000000E+00;  7.2008839E+08;  9.2952464E+00;  0.0000000E+00;  3.9974073E+11;  7.2008839E+08;  0.0000000E+00
P 2;  2.2000000E+02;  1.9890000E+30;  3.9974073E+11;  5.0587020E+03;  0.0000000E+00; -7.2008839E+08; -9.2952464E+00;  0.0000000E+00;  3.9974073E+11;  7.2008839E+08;  0.0000000E+00
P 1;  2.2500000E+02;  1.9890000E+30; -3.9363960E+11; -4.9805815E+03;  0.0000000E+00;  1.5553541E+09;  1.9864631E+01;  0.0000000E+00;  3.9363960E+11;  1.5553541E+09;  0.0000000E+00
P 2;  2.2500000E+02;  1.9890000E+30;  3.9363960E+11;  4.9805815E+03;  0.0000000E+00; -1.5553541E+09; -1.9864631E+01;  0.0000000E+00;  3.9363960E+11;  1.5553541E+09;  0.0000000E+00
P 1;  2.3000000E+02;  1.9890000E+30; -3.8331462E+11; -4.8490187E+03;  0.0000000E+00;  2.4078021E+09;  3.0649431E+01;  0.0000000E+00;  3.8331462E+11;  2.4078021E+09;  0.0000000E+00
